I ICH10/E423 1223 75
 1.0000000     0.0000047
 0.9975774     0.0016391
 0.9912595     0.0063368
 0.9819887     0.0131411
 0.9694600     0.0207059
 0.9532456     0.0285614
 0.9333380     0.0367681
 0.9100192     0.0451778
 0.8836097     0.0537704
 0.8544383     0.0624970
 0.8228942     0.0712447
 0.7893553     0.0799056
 0.7541772     0.0883844
 0.7177122     0.0965696
 0.6802868     0.1043746
 0.6422264     0.1116967
 0.6038419     0.1184543
 0.5653854     0.1245749
 0.5271079     0.1299867
 0.4889695     0.1346414
 0.4509128     0.1384196
 0.4131753     0.1412109
 0.3758373     0.1428908
 0.3390760     0.1433250
 0.3030619     0.1424264
 0.2679660     0.1400263
 0.2340480     0.1357913
 0.2015525     0.1297925
 0.1706925     0.1221644
 0.1416950     0.1131544
 0.1147487     0.1029573
 0.0900797     0.0917268
 0.0679262     0.0796567
 0.0485431     0.0669766
 0.0322038     0.0539953
 0.0191739     0.0409176
 0.0096443     0.0280565
 0.0035308     0.0162130
 0.0005489     0.0062276
-0.0000152     0.0004863
 0.0004304    -0.0042650
 0.0030293    -0.0100388
 0.0104957    -0.0136735
 0.0214232    -0.0149609
 0.0353173    -0.0152455
 0.0520727    -0.0144714
 0.0715927    -0.0128072
 0.0936508    -0.0102852
 0.1180814    -0.0069612
 0.1447154    -0.0027880
 0.1733345     0.0023221
 0.2037841     0.0081086
 0.2358922     0.0141452
 0.2695090     0.0202249
 0.3044457     0.0261736
 0.3404807     0.0318202
 0.3774380     0.0370182
 0.4151133     0.0416535
 0.4532776     0.0456502
 0.4917925     0.0489828
 0.5303605     0.0516061
 0.5689785     0.0535025
 0.6076354     0.0546422
 0.6460506     0.0549759
 0.6839637     0.0544647
 0.7210738     0.0531002
 0.7570744     0.0509117
 0.7916562     0.0479478
 0.8245056     0.0442857
 0.8553245     0.0400124
 0.8838100     0.0352264
 0.9096502     0.0300618
 0.9325748     0.0246692
 0.9523083     0.0191695
 0.9686644     0.0137020
 0.9816934     0.0085334
 0.9914675     0.0041343
 0.9977714     0.0011020
 1.0000000    -0.0000056
